DATA,TESTES REALIZADOS,TESTES NEGATIVADOS,TESTES CONFIRMADOS,N� DE CASOS POR DIA,MASCULINO,FEMININO,�BITOS,ISOLAMENTO DOMICILIAR,ALTA ISOLAMENTO DOMICILIAR,N� DE LEITOS UTI P�BLICO E PRIVADO,N� DE LEITOS DE UTI P�BLICO,N� DE LEITOS DE UTI PRIVADO,N� DE LEITOS  ENFERMARIA  P�BLICO E PRIVADO,N� DE LEITOS DE ENFERMARIA P�BLICO,N� DE LEITOS DE ENFERMARIA PRIVADO,INTERNADOS P�BLICO E PRIVADO,UTI SUS OCUPA��O,ENFERMARIA SUS OCUPA��O,UTI PRIVADO OCUPA��O,ENFERMARIA PRIVADO OCUPA��O
29/09/2021,603206,325126,278080,30,122479,155601,6009,2070,269960,142,109,33,173,130,43,41,16,10,6,9
28/09/2021,602593,324543,278050,14,122469,155581,6008,2065,269937,139,109,30,182,130,52,40,17,7,9,7
27/09/2021,602132,324096,278036,22,122463,155573,6008,2083,269900,139,109,30,182,130,52,45,17,12,7,9
26/09/2021,602067,324053,278014,19,122457,155557,6008,2108,269855,139,109,30,182,130,52,43,16,13,7,7
25/09/2021,601869,323874,277995,31,122451,155544,6008,2139,269807,139,109,30,182,130,52,41,15,13,8,5
24/09/2021,601365,323401,277964,24,122438,155526,6008,2133,269783,139,109,30,182,130,52,40,13,16,6,5
23/09/2021,601005,323065,277940,16,122429,155511,6007,2114,269773,139,109,30,182,130,52,46,11,23,5,7
22/09/2021,600461,322537,277924,15,122425,155499,6006,2329,269545,139,109,30,192,130,62,44,15,21,3,4
21/09/2021,600097,322188,277909,21,122416,155493,6005,2308,269540,139,109,30,192,130,62,56,18,28,4,6
20/09/2021,599630,321742,277888,32,122406,155482,6005,2302,269527,139,109,30,192,130,62,54,21,26,5,2
19/09/2021,599575,321719,277856,21,122386,155470,6005,2285,269515,139,109,30,192,130,62,51,15,26,4,6
18/09/2021,599173,321338,277835,16,122376,155459,6004,2273,269507,139,109,30,192,130,62,51,18,23,3,7
17/09/2021,598741,320922,277819,28,122369,155450,6004,2252,269506,147,109,38,192,130,62,57,17,28,6,6
16/09/2021,598050,320259,277791,44,122354,155437,6003,2230,269501,147,109,38,192,130,62,57,19,26,6,6
15/09/2021,597875,320128,277747,61,122339,155408,6003,2210,269481,155,117,38,192,130,62,53,19,23,6,5
14/09/2021,597508,319822,277686,17,122315,155371,6003,2148,269473,165,127,38,192,130,62,62,20,23,9,10
13/09/2021,597149,319480,277669,16,122309,155360,6003,2143,269455,165,127,38,192,130,62,68,23,27,8,10
12/09/2021,597086,319433,277653,10,122301,155352,6003,2143,269444,165,127,38,192,130,62,63,23,21,9,10
11/09/2021,596677,319034,277643,18,122294,155349,6003,2137,269434,165,127,38,192,130,62,69,24,23,10,12
10/09/2021,596253,318628,277625,14,122286,155339,6003,2135,269418,165,127,38,192,130,62,69,23,27,11,8
09/09/2021,595877,318266,277611,11,122278,155333,6002,2124,269412,165,127,38,192,130,62,73,25,26,15,7
08/09/2021,595500,317900,277600,11,122273,155327,6001,2122,269404,165,127,38,205,143,62,73,26,30,12,5
07/09/2021,595316,317727,277589,11,122269,155320,6001,2453,269059,174,127,47,205,143,62,76,24,37,8,7
06/09/2021,594990,317412,277578,12,122261,155317,6001,2457,269049,175,127,48,205,143,62,71,24,30,9,8
05/09/2021,594882,317316,277566,22,122258,155308,6001,2459,269040,175,127,48,205,143,62,66,24,30,9,3
04/09/2021,594174,316630,277544,16,122250,155294,6001,2443,269026,175,127,48,205,143,62,74,25,35,9,5
03/09/2021,593883,316355,277528,26,122243,155285,6000,2442,269006,174,127,47,205,143,62,80,24,41,9,6
02/09/2021,593291,315789,277502,32,122228,155274,5998,2446,268976,174,127,47,205,143,62,82,24,43,6,9
01/09/2021,592638,315168,277470,15,122215,155255,5995,2751,268655,174,127,47,205,143,62,69,25,30,7,7
31/08/2021,592259,314804,277455,13,122207,155248,5992,2739,268636,174,127,47,205,143,62,88,27,44,9,8
30/08/2021,591782,314340,277442,32,122199,155243,5989,2738,268622,174,127,47,205,143,62,93,30,42,10,11
29/08/2021,591665,314255,277410,27,122187,155223,5986,2733,268607,174,127,47,205,143,62,84,32,31,11,10
28/08/2021,591039,313656,277383,16,122172,155211,5984,2718,268590,174,127,47,205,143,62,91,32,38,12,9
27/08/2021,590456,313089,277367,18,122162,155205,5981,2734,268560,174,127,47,205,143,62,92,35,37,11,9
26/08/2021,589887,312538,277349,66,122152,155197,5978,2729,268546,174,127,47,205,143,62,96,38,40,10,8
25/08/2021,589214,311931,277283,56,122120,155163,5975,2708,268496,184,137,47,215,153,62,104,42,46,11,5
24/08/2021,588639,311412,277227,33,122089,155138,5972,3124,268022,184,137,47,215,153,62,109,42,50,15,2
23/08/2021,588038,310844,277194,7,122072,155122,5970,3099,268011,180,137,43,215,153,62,114,41,54,11,8
22/08/2021,587953,310766,277187,110,122068,155119,5967,3182,267926,180,137,43,215,153,62,112,41,51,12,8
21/08/2021,587150,310073,277077,32,122014,155063,5964,3148,267852,180,137,43,215,153,62,113,41,51,12,9
20/08/2021,586546,309501,277045,36,122000,155045,5961,3377,267597,180,137,43,215,153,62,110,41,50,11,8
19/08/2021,585580,308571,277009,55,121988,155021,5958,3717,267229,180,137,43,215,153,62,105,41,45,11,8
18/08/2021,584732,307778,276954,63,121963,154991,5954,3788,267109,191,137,54,215,153,62,103,39,50,8,6
17/08/2021,583937,307046,276891,17,121935,154956,5951,3842,266979,191,137,54,215,153,62,119,43,53,10,13
16/08/2021,583448,306574,276874,9,121926,154948,5949,3868,266948,191,137,54,215,153,62,109,41,44,10,14
15/08/2021,583346,306481,276865,44,121921,154944,5948,3981,266840,191,137,54,215,153,62,96,36,42,10,8
14/08/2021,582705,305884,276821,37,121904,154917,5947,3990,266784,191,137,54,215,153,62,100,41,41,10,8
13/08/2021,581903,305119,276784,131,121889,154895,5946,3991,266731,191,137,54,215,153,62,116,44,52,10,10
12/08/2021,581063,304410,276653,149,121826,154827,5946,4013,266574,191,137,54,256,194,62,120,45,51,11,13
11/08/2021,580006,303502,276504,286,121751,154753,5942,3970,266473,191,137,54,256,194,62,119,47,48,12,12
10/08/2021,579058,302840,276218,442,121624,154594,5941,4591,265563,191,137,54,256,194,62,123,47,54,13,9
09/08/2021,578236,302460,275776,158,121443,154333,5938,4195,265530,205,137,68,256,194,62,113,47,42,17,7
08/08/2021,577981,302363,275618,69,121370,154248,5937,4111,265452,205,137,68,256,194,62,118,46,45,17,10
07/08/2021,577247,301698,275549,76,121333,154216,5936,4182,265316,205,137,68,256,194,62,115,47,42,18,8
06/08/2021,576540,301067,275473,140,121303,154170,5932,4281,265137,205,137,68,256,194,62,123,49,48,18,8
05/08/2021,575772,300439,275333,236,121241,154092,5929,4193,265083,205,137,68,256,194,62,128,49,49,18,12
04/08/2021,575128,300031,275097,116,121141,153956,5925,4538,264499,213,137,76,256,194,62,135,49,57,17,12
03/08/2021,574117,299136,274981,249,121089,153892,5922,4550,264381,213,137,76,276,194,82,128,46,53,17,12
02/08/2021,573453,298721,274732,137,120981,153751,5918,4411,264260,223,137,86,276,194,82,143,48,55,24,16
01/08/2021,573228,298633,274595,333,120911,153684,5915,4563,263977,223,137,86,299,217,82,140,49,49,26,16
31/07/2021,572142,297880,274262,238,120782,153480,5910,4392,263814,246,160,86,299,217,82,146,50,53,26,17
30/07/2021,571494,297470,274024,161,120679,153345,5908,4588,263367,273,177,96,299,217,82,161,62,53,25,21
29/07/2021,570617,296754,273863,234,120616,153247,5907,4432,263362,283,177,106,338,237,101,162,67,47,28,20
28/07/2021,569652,296023,273629,180,120517,153112,5903,4400,263141,283,177,106,378,277,101,185,66,59,33,27
27/07/2021,568705,295256,273449,119,120442,153007,5901,4259,263096,283,177,106,378,277,101,193,70,69,32,22
26/07/2021,568046,294716,273330,282,120386,152944,5896,4285,262944,283,177,106,378,277,101,205,77,75,37,16
25/07/2021,567673,294625,273048,203,120271,152777,5893,4185,262762,283,177,106,378,277,101,208,80,72,38,18
24/07/2021,566628,293782,272846,169,120181,152665,5891,4085,262656,283,177,106,378,277,101,214,83,78,36,17
23/07/2021,565884,293207,272677,457,120106,152571,5888,4010,262556,283,177,106,378,277,101,223,83,87,35,18
22/07/2021,564466,292246,272220,299,119908,152312,5882,3658,262440,293,177,116,385,277,108,240,95,85,40,20
21/07/2021,563078,291757,271921,382,119771,152150,5876,3567,262233,303,187,116,385,277,108,245,93,85,37,30
20/07/2021,562610,291071,271539,527,119609,151930,5870,7481,257946,323,207,116,397,289,108,242,86,81,41,34
19/07/2021,561828,290816,271012,177,119393,151619,5864,7176,257719,343,207,136,416,289,127,253,90,80,42,41
18/07/2021,561320,290485,270835,216,119328,151507,5860,7224,257480,343,207,136,416,289,127,271,97,85,44,45
